ASIN,end_time,product_name,reading_marketplace,start_time,total_reading_milliseconds
Not Available,2025-07-06T03:34:26.600Z,Not Available,www.amazon.com,2025-07-06T03:29:39Z,287600
Not Available,2025-07-06T03:29:20Z,Not Available,www.amazon.com,2025-07-06T03:29:20Z,0
Not Available,2025-07-06T03:29:20.900Z,Not Available,www.amazon.com,2025-07-06T03:21:08.100Z,492800
Not Available,2025-07-05T17:56:16Z,Not Available,www.amazon.com,2025-07-05T17:56:16Z,0
Not Available,2025-07-05T17:56:16.700Z,Not Available,www.amazon.com,2025-07-05T17:29:07.100Z,1629600
Not Available,2025-07-04T21:15:13Z,Not Available,www.amazon.com,2025-07-04T21:15:13Z,0
Not Available,2025-07-04T21:15:12.700Z,Not Available,www.amazon.com,2025-07-04T20:50:44.100Z,1468600
Not Available,2025-07-04T17:00:14Z,Not Available,www.amazon.com,2025-07-04T17:00:14Z,0
Not Available,2025-07-04T17:00:14.500Z,Not Available,www.amazon.com,2025-07-04T16:35:29Z,1485500
Not Available,2025-07-04T02:57:36Z,Not Available,www.amazon.com,2025-07-04T02:57:36Z,0
Not Available,2025-07-04T02:57:36.200Z,Not Available,www.amazon.com,2025-07-04T02:35:49Z,1307200
Not Available,2025-07-02T16:51:15.300Z,Not Available,www.amazon.com,2025-07-02T16:51:05.400Z,9900
Not Available,2025-07-01T03:06:16Z,Not Available,www.amazon.com,2025-07-01T03:06:16Z,0
Not Available,2025-07-01T03:06:16.400Z,Not Available,www.amazon.com,2025-07-01T02:47:34.400Z,1122000
Not Available,2025-07-01T02:37:17.400Z,Not Available,www.amazon.com,2025-07-01T02:36:45.100Z,32300
Not Available,2025-06-30T20:58:48Z,Not Available,www.amazon.com,2025-06-30T20:58:48Z,0
Not Available,2025-06-30T20:58:48.500Z,Not Available,www.amazon.com,2025-06-30T20:40:47.800Z,1080700
Not Available,2025-06-30T20:40:38.400Z,Not Available,www.amazon.com,2025-06-30T20:40:26.700Z,11700
Not Available,2025-06-30T20:40:06Z,Not Available,www.amazon.com,2025-06-30T20:40:06Z,0
Not Available,2025-06-30T20:40:06.100Z,Not Available,www.amazon.com,2025-06-30T20:33:56Z,370100
Not Available,2025-06-28T21:24:03Z,Not Available,www.amazon.com,2025-06-28T21:24:03Z,0
Not Available,2025-06-28T21:24:03.600Z,Not Available,www.amazon.com,2025-06-28T20:39:47.100Z,2656500
Not Available,2025-06-28T17:38:03Z,Not Available,www.amazon.com,2025-06-28T17:38:03Z,0
Not Available,2025-06-28T17:38:03.100Z,Not Available,www.amazon.com,2025-06-28T16:59:55.100Z,2288000
Not Available,2025-06-28T03:03:19Z,Not Available,www.amazon.com,2025-06-28T03:03:19Z,0
