Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2023-03-07T03:36:42Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2024-10-09T02:25:19Z,www.amazon.com,Eink,Not Applicable,AutoShelving,start_actions,PerformAutoShelving,,No,B0CW1J3Y5G,No,Yes,InvokedByBookOpen,No,currently-reading
2023-09-16T03:12:29Z,www.amazon.com,Eink,Not Applicable,AutoShelving,start_actions,PerformAutoShelving,,No,B0BTVBH6G3,No,Yes,InvokedByBookOpen,No,currently-reading
2024-02-22T21:41:00Z,www.amazon.com,Eink,B0044781ZQ,AutoShelving,end_actions,PerformAutoShelving,,No,B0044781ZQ,Yes,Yes,InvokedByBookFinish,No,read
2024-04-12T03:25:13Z,www.amazon.com,Eink,B0BQGJVCMT,ManualShelving,start_actions,PerformManualShelving,,No,B0BQGJVCMT,No,Yes,InvokedByMenu,No,none
2024-01-08T04:11:37Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0B7R4Q5DJ,Yes,Yes,InvokedByBookFinish,No,none
2023-09-25T03:46:43Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2023-06-14T23:03:08Z,www.amazon.com,Eink,B0BHCXVWGT,AutoShelving,start_actions,PerformAutoShelving,,No,B0BHCXVWGT,No,Yes,InvokedByBookOpen,No,currently-reading
2024-04-22T21:45:32Z,www.amazon.com,Eink,B0C772ZLMQ,AutoShelving,start_actions,PerformAutoShelving,,No,B0C772ZLMQ,No,Yes,InvokedByBookOpen,No,currently-reading
2023-03-07T03:45:26Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2024-04-14T21:38:03Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,none
2024-03-01T02:27:07Z,www.amazon.com,Eink,B0C7RPT9B3,AutoShelving,start_actions,PerformAutoShelving,,No,B0C7RPT9B3,No,Yes,InvokedByBookOpen,No,currently-reading
2023-09-25T02:56:04Z,www.amazon.com,Eink,B0BJNKTFGH,AutoShelving,start_actions,PerformAutoShelving,,No,B0BJNKTFGH,No,Yes,InvokedByBookOpen,No,currently-reading
2024-04-03T03:18:10Z,www.amazon.com,Eink,B007RMYE9M,AutoShelving,start_actions,PerformAutoShelving,,No,B0BXTB6HSN,No,Yes,InvokedByBookOpen,No,currently-reading
2024-03-08T22:26:00Z,www.amazon.com,Eink,B0C7RPT9B3,AutoShelving,end_actions,PerformAutoShelving,,No,B0C7RPT9B3,Yes,Yes,InvokedByBookFinish,Yes,read
2023-12-20T05:52:30Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0B399L6KP,Yes,Yes,InvokedByBookFinish,No,read
2023-05-29T17:15:16Z,www.amazon.com,Eink,B08PG6CKZJ,ManualShelving,end_actions,PerformManualShelving,,No,B08PG6CKZJ,Yes,Yes,InvokedByBookFinish,No,read
2023-12-15T17:48:17Z,www.amazon.com,Eink,B0B9SN8K6H,AutoShelving,end_actions,PerformAutoShelving,,No,B0B9SN8K6H,Yes,Yes,InvokedByBookFinish,No,read
2024-01-10T04:34:10Z,www.amazon.com,Eink,B000JMKNV0,ManualShelving,end_actions,PerformManualShelving,,No,B000JMKNV0,Yes,Yes,InvokedByBookFinish,No,read
2023-12-20T05:51:17Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0B399L6KP,Yes,Yes,InvokedByBookFinish,No,read
2024-06-05T04:54:48Z,www.amazon.com,Eink,B09X34KMRM,ManualShelving,end_actions,PerformManualShelving,,No,B09X34KMRM,Yes,Yes,InvokedByBookFinish,No,read
2024-04-11T22:16:29Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B0BXTB6HSN,Yes,Yes,InvokedByBookFinish,No,read
2024-01-06T18:47:25Z,www.amazon.com,Eink,B0B7R4Q5DJ,AutoShelving,end_actions,PerformAutoShelving,,No,B0B7R4Q5DJ,Yes,Yes,InvokedByBookFinish,No,read
2023-03-09T17:55:22Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2023-02-23T19:38:32Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08NT2VSWF,Yes,Yes,InvokedByBookFinish,No,read
2023-03-07T03:39:04Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2025-01-27T04:27:58Z,www.amazon.com,Eink,B0BL6YQ61Y,ManualShelving,start_actions,PerformManualShelving,,No,B0BL6YQ61Y,No,Yes,InvokedByMenu,No,none
2023-03-11T22:14:08Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,Yes,B08QXTPXPH,Yes,Yes,InvokedByBookFinish,No,read
2023-09-28T04:08:44Z,www.amazon.com,Eink,Not Applicable,AutoShelving,end_actions,PerformAutoShelving,,No,B0BTVBH6G3,Yes,Yes,InvokedByBookFinish,No,read
2023-02-15T22:06:58Z,www.amazon.com,Eink,Not Applicable,AutoShelving,start_actions,PerformAutoShelving,,No,B01COJUEZ0,No,Yes,InvokedByBookOpen,No,currently-reading
2023-10-23T21:53:29Z,www.amazon.com,Eink,B09BV2JNWV,ManualShelving,end_actions,PerformManualShelving,,No,B09BV2JNWV,Yes,Yes,InvokedByBookFinish,No,read
