created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2025-05-22T13:47:47Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Content stored in device,Total Books In Account,78,Yes
2023-10-12T06:03:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2023-10-01T00:52:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,8,Yes
2023-12-23T18:12:15Z,www.amazon.com,US,Kindle E-reader,B0B7NGCGHG,Content stored in device,Total Books In Account,81,Yes
2023-10-10T03:43:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,85,Yes
2025-07-20T02:50:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-05-28T04:07:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2025-02-28T00:52:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-07-07T19:19:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,82,Yes
2025-01-31T23:30:01Z,www.amazon.com,US,Kindle E-reader,B0DMDYK6Y6,Content stored in device,Total Books In Account,79,Yes
2023-12-29T04:50:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2025-04-13T20:09:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-03-17T02:58:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2024-07-22T03:52:11Z,www.amazon.com,US,Kindle E-reader,B0C7729CF8,Content stored in device,Total Books Downloaded,8,Yes
2023-08-28T17:51:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2023-04-07T03:54:50Z,www.amazon.com,US,Kindle E-reader,B07HB5DKQX,Content stored in device,Total Books In Account,95,Yes
2023-09-04T16:16:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,85,Yes
2023-11-01T17:37:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,4,Yes
2023-07-23T03:37:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2025-07-27T02:15:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-02-14T22:47:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,7,Yes
2024-05-13T03:11:06Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2023-06-21T03:51:05Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Content stored in device,Total Books In Account,82,Yes
2024-07-25T22:19:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2025-01-20T18:54:54Z,www.amazon.com,US,Kindle E-reader,B0CC1J32NG,Content stored in device,Total Books Downloaded,9,Yes
2024-04-10T03:08:23Z,www.amazon.com,US,Kindle E-reader,B00BUP18U0,Content stored in device,Total Books Downloaded,8,Yes
2023-10-11T00:38:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2024-10-20T20:47:19Z,www.amazon.com,US,Kindle E-reader,2EUPLKIM7ATSLPXWBOUA4B2L66BXKDTV,Content stored in device,Total Books In Account,81,Yes
2024-04-08T03:47:56Z,www.amazon.com,US,Kindle E-reader,B0BQGHJM5L,Content stored in device,Total Books In Account,86,Yes
2025-03-27T01:48:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,79,Yes
2023-12-14T03:40:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2023-02-20T21:39:56Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-12-30T05:52:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2025-04-04T09:52:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-14T02:01:51Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,81,Yes
2023-04-09T23:09:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,97,Yes
2024-09-17T08:40:31Z,www.amazon.com,US,Kindle E-reader,5XMZNFFBFJGCDIF7CF2TJMLGHI2DH2MZ,Content stored in device,Total Books Sideloaded,1,Yes
2023-07-07T19:19:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,5,Yes
2024-05-15T03:45:40Z,www.amazon.com,US,Kindle E-reader,B081914PR7,Content stored in device,Total Books Downloaded,6,Yes
2025-01-10T14:30:55Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2023-08-09T02:15:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,83,Yes
2025-07-08T22:13:33Z,www.amazon.com,US,Kindle E-reader,SL7WU7EAKIJMP6UUMD2XUOQFJIPQTNPT,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-31T04:09:45Z,www.amazon.com,US,Kindle E-reader,B09X34KMRM,Content stored in device,Total Books Sideloaded,4,Yes
2025-01-16T00:02:35Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,81,Yes
2024-04-22T03:35:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2025-07-01T02:37:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2024-02-11T17:55:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,3,Yes
2024-02-20T04:48:40Z,www.amazon.com,US,Kindle E-reader,B0044781ZQ,Content stored in device,Total Books Downloaded,8,Yes
2025-07-15T04:06:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,9,Yes
