created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-05-21T23:25:40Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-27T19:08:42Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T15:47:27Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-29T03:51:44Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-26T01:24:42Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-21T18:55:11Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:28:15Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-15T21:15:38Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Top Toolbar,Open Overflow Menu,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T22:26:54Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Top Toolbar,Close Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T20:26:55Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-14T21:26:15Z,www.amazon.com,US,Kindle for Android,RESEYEAJK4EJ4ULJAU6NJ6YSAGXJJQBV,Full Page View,Add Bookmark,Yes,Paginated Reading,No,Portrait,Time To Read Chapter,Tap
2025-07-29T20:26:57Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-07-29T15:55:07Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-30T01:31:05Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-26T01:26:20Z,www.amazon.com,US,Kindle for Android,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:15:28Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:29:58Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-05-27T22:32:55Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-06-15T21:25:28Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:40:24Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-07-29T20:26:54Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
