created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-01-03T21:32:55Z,www.amazon.com,US,Kindle E-reader,B0B7R4Q5DJ,Menu,In-book,Tap
2025-02-28T00:50:14Z,www.amazon.com,US,Kindle E-reader,HUKF6ODKYJKXSFIK5P7Q7DIOWPD325YP,exitBook,In-book,Tap
2024-09-27T03:50:02Z,www.amazon.com,US,Kindle E-reader,CFB210D125DE496195B7AE70BACDA51C,exitBook,In-book,Tap
2025-06-12T23:28:40Z,www.amazon.com,US,Kindle E-reader,WE7SRD2LY7QFPPIYNFYUIFGDVUBNHMLP,Goto,In-book,Tap
2023-03-24T04:48:01Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,Goto,In-book,Tap
2023-03-17T03:14:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,Browser,Tap
2025-04-27T03:30:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2023-08-07T04:31:24Z,www.amazon.com,US,Kindle E-reader,B0BG13PH57,Menu,In-book,Tap
2024-05-21T21:32:31Z,www.amazon.com,US,Kindle E-reader,Not Available,exitBook,In-book,Tap
2024-03-30T02:04:51Z,www.amazon.com,US,Kindle E-reader,B0BTZRQHJM,Menu,In-book,Tap
2025-06-11T03:09:59Z,www.amazon.com,US,Kindle E-reader,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,exitBook,In-book,Tap
2023-08-05T04:44:50Z,www.amazon.com,US,Kindle E-reader,B0BH4QWM85,exitBook,In-book,Tap
2023-03-31T20:59:27Z,www.amazon.com,US,Kindle E-reader,B075SPBQDV,Menu,In-book,Tap
2024-05-30T03:58:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,Store,Tap
2024-05-30T03:54:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2023-08-26T04:03:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,Goodreads,Tap
2023-12-20T06:03:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
2023-06-13T22:22:29Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,exitBook,In-book,Tap
2024-05-14T01:59:55Z,www.amazon.com,US,Kindle E-reader,B0C97G1ZR6,Goto,In-book,Tap
2025-02-19T05:21:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_HOME,Tap
2024-10-11T03:12:31Z,www.amazon.com,US,Kindle E-reader,B0CW1J3Y5G,Goto,In-book,Tap
2024-09-22T01:45:37Z,www.amazon.com,US,Kindle E-reader,B0CQFXKTPW,exitBook,In-book,Tap
2024-03-30T02:07:48Z,www.amazon.com,US,Kindle E-reader,B0BWGKNK7G,exitBook,In-book,Tap
2025-06-09T04:30:42Z,www.amazon.com,US,Kindle E-reader,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,exitBook,In-book,Tap
2023-10-12T16:53:04Z,www.amazon.com,US,Kindle E-reader,B004HW7DZ2,Goto,In-book,Tap
2024-09-23T01:45:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Goto,In-book,Tap
