"Product Name","ASIN","Author ID"
"You're Saying It Wrong: A Pronunciation Guide to the 150 Most Commonly Mispronounced Words--and Their Tangled Histories of Misuse","0399578080","B001H6Q67M"
"The Last Mona Lisa: A Novel","B08QXTPXPH","B001IU2Q94"
"How the Word Is Passed: A Reckoning with the History of Slavery Across America","B08KQ4W18H","B06XGRHX69"
"66 Metres: A chilling thriller that will keep you on the edge of your seat! (Nadia Laksheva Spy Thriller Series, Book 1)","B01HLY0Z0W","B01KWTDN7U"
"Wrong Place Wrong Time: A Novel","B09NW4FN2R","B06XQTJLJ5"
"The Boy from the Woods: Wilde, Book 1","B07ZPDRVYF","B000APCH7Y"
"The Boy from the Woods","B07TYBQJBM","B000APCH7Y"
"The Master & Margarita","B08KH4LZDM","B000APW544"
"Index, A History of the: A Bookish Adventure from Medieval Manuscripts to the Digital Age","B098TZ17NC","B092N1DY5V"
"The Mosquito Bowl: A Game of Life and Death in World War II","B09FK32FY3","B000APV4KA"
"Super-Infinite: The Transformations of John Donne","B09NTK9WDQ","B00QN3VAFW"
"The Sympathizer: A Novel (Pulitzer Prize for Fiction)","B00PSSG4MM","B001HD1IPU"
"A Gentleman in Moscow: A Novel","B01COJUEZ0","B004MW8MG6"
"Demon Copperhead: A Pulitzer Prize Winner","B09QMHZ53K","B000APW2FQ"
"Random","B0B2F5J32D","B000AP7XAA"
"Godspeed","B08NT2VSWF","B00F5Z1RAM"
"Randomize: Forward collection","B07X7K7DVS","B00G0WYW92"
"Randomize (Forward collection)","B07VDJBKNJ","B00G0WYW92"
"World's Greatest Running Lessons: 50 Lessons to Elevate Your Running","B0B33PJZJT","B00J22QXS0"
"World's Greatest Running Lessons: 50 Lessons to Elevate Your Running","B0B33PJZJT","B09YS1XQ3H"
"If Nietzsche Were a Narwhal: What Animal Intelligence Reveals About Human Stupidity","B09QKTFZGR","B00BTIZYL2"
"Night of the Living Rez","B09NH4DJBP","B0B3JWMBQG"
"Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion","B08BYBNGMW","B004MVO4PK"
"Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion","B08BYBNGMW","B092731SBP"
"The Idiot: A Novel","B01HNJIJ3U","B0039K50N0"
