campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2025-04-18T03:26:46.229Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,Not Available,1,1
2024-08-12T02:14:33.953Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,1,2
2024-08-17T18:22:58.320Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,5,9
2025-03-06T01:27:58.900Z,www.amazon.com,US,Kindle E-reader,4351860007,Not Applicable,displayed,6NDGE2NIHCVUABABQEW7LNCIZ7TO6CGC,1,1
2025-07-10T21:30:30.172Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,Not Available,1,1
2024-08-09T03:30:14.355Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,4,8
2024-08-20T03:58:29.317Z,www.amazon.com,US,Kindle E-reader,4270250001,Not Applicable,displayed,6C1EF968A24F49B0BF68A0FC5BA314DC,1,1
2024-08-16T23:45:26.261Z,www.amazon.com,US,Kindle E-reader,4270250001,131-0015325-6370956,displayed,Not Available,7,14
2025-05-30T01:19:45.936Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,1,2
2025-05-11T03:41:54.761Z,www.amazon.com,US,Kindle E-reader,4417610025,Not Applicable,displayed,B0CWFMT5SC,1,1
2025-02-21T06:07:16.168Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,2,3
2025-04-21T02:39:03.372Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,3,6
2025-03-01T21:58:48.641Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,1,2
2025-02-21T22:52:48.927Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,Not Available,3,4
2025-01-07T05:31:39.038Z,www.amazon.com,US,Kindle E-reader,4351860007,131-0015325-6370956,displayed,JZLZQO3Y3EPKB7K2WUG7MGTYPVYOZWJS,1,2
2025-04-26T04:07:34.899Z,www.amazon.com,US,Kindle E-reader,4417610025,131-0015325-6370956,displayed,Not Available,2,3
