country,created_timestamp,preferred_marketplace,device_family,ASIN,customer_action,desired_page_location
US,2023-11-13T03:37:43Z,www.amazon.com,Kindle E-reader,B0BR511292,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-06-01T17:43:28Z,www.amazon.com,Kindle E-reader,B09X34KMRM,Reading Navigation Toolbar Inside Book is Invoked,Last Page Read
US,2023-08-18T00:22:46Z,www.amazon.com,Kindle E-reader,B08T6CL58V,Already at Most Recent Page Read,Not Available
US,2024-03-28T23:41:16Z,www.amazon.com,Kindle E-reader,B0BTZRQHJM,Already at Most Recent Page Read,Not Available
US,2023-12-06T21:13:59Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-07-12T20:09:45Z,www.amazon.com,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-07-14T04:09:26Z,www.amazon.com,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,Already at Most Recent Page Read,Not Available
US,2023-11-15T04:02:29Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-15T02:50:04Z,www.amazon.com,Kindle E-reader,B0BPNP7YQB,Already at Most Recent Page Read,Not Available
US,2024-02-21T04:35:21Z,www.amazon.com,Kindle E-reader,B0CLQVQSVL,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-06-16T03:38:04Z,www.amazon.com,Kindle E-reader,096E674F00DC4192A0B7E99C3AB4A388,Tap on Most Recent Page Read Title,Last Page Read
US,2024-06-04T22:57:54Z,www.amazon.com,Kindle E-reader,B09X34KMRM,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-07-26T03:02:59Z,www.amazon.com,Kindle E-reader,Not Available,Tap on Most Recent Page Read Title,Last Page Read
US,2023-12-23T05:11:36Z,www.amazon.com,Kindle E-reader,B09Y467GZY,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-07T21:05:06Z,www.amazon.com,Kindle E-reader,B09LHBX5KV,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-12-09T19:49:41Z,www.amazon.com,Kindle E-reader,B0C5LRCM2F,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-07-26T03:02:50Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-03T06:12:22Z,www.amazon.com,Kindle E-reader,B0C592RHNC,Tap on Most Recent Page Read Title,Last Page Read
US,2024-06-16T03:37:42Z,www.amazon.com,Kindle E-reader,096E674F00DC4192A0B7E99C3AB4A388,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-08-19T01:27:50Z,www.amazon.com,Kindle E-reader,B08T6CL58V,Already at Most Recent Page Read,Not Available
US,2024-07-13T04:25:44Z,www.amazon.com,Kindle E-reader,2C4B5A07F41247DAAF830F1590836876,Current Last Page Read Not Present,Not Available
US,2024-01-27T02:58:53Z,www.amazon.com,Kindle E-reader,B0C3C886FY,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-07-08T21:42:38Z,www.amazon.com,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-21T04:35:29Z,www.amazon.com,Kindle E-reader,B0CLQVQSVL,Tap on Most Recent Page Read Title,Last Page Read
US,2024-04-19T03:38:27Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Already at Most Recent Page Read,Not Available
US,2024-04-29T03:21:11Z,www.amazon.com,Kindle E-reader,B0C772ZLMQ,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-11-09T04:35:40Z,www.amazon.com,Kindle E-reader,B07CWDMQ45,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-02-29T21:18:05Z,www.amazon.com,Kindle E-reader,Not Available,Tap on Most Recent Page Read Title,Last Page Read
US,2023-12-29T04:49:54Z,www.amazon.com,Kindle E-reader,B09Y467GZY,Current Last Page Read Not Present,Not Available
US,2024-04-16T03:33:52Z,www.amazon.com,Kindle E-reader,B003B4IW2U,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-01-26T21:01:51Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-03-13T20:40:45Z,www.amazon.com,Kindle E-reader,B0BPNP7YQB,Already at Most Recent Page Read,Not Available
US,2023-12-19T04:28:48Z,www.amazon.com,Kindle E-reader,B08FGV64B1,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-11-13T03:37:45Z,www.amazon.com,Kindle E-reader,B0BR511292,Tap on Most Recent Page Read Title,Last Page Read
US,2024-02-28T21:32:43Z,www.amazon.com,Kindle E-reader,B0C1YCKNK1,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-11-09T04:35:40Z,www.amazon.com,Kindle E-reader,B07CWDMQ45,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-11-16T03:12:06Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-12-19T04:29:03Z,www.amazon.com,Kindle E-reader,B08FGV64B1,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-20T03:52:19Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-07-18T22:09:19Z,www.amazon.com,Kindle E-reader,B0C7729CF8,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-12-19T04:28:47Z,www.amazon.com,Kindle E-reader,B08FGV64B1,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-04-16T03:33:52Z,www.amazon.com,Kindle E-reader,B003B4IW2U,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-06-04T22:57:55Z,www.amazon.com,Kindle E-reader,B09X34KMRM,Reading Navigation Toolbar Inside Book is Invoked,Last Page Read
US,2024-07-20T18:48:37Z,www.amazon.com,Kindle E-reader,28C62463866C4CC99233564ED847A1A5,Current Last Page Read Not Present,Not Available
US,2024-04-14T21:38:20Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2023-12-25T04:48:06Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-06-01T17:43:27Z,www.amazon.com,Kindle E-reader,B09X34KMRM,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-07-03T02:14:29Z,www.amazon.com,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Current Last Page Read Not Present,Not Available
US,2024-05-05T21:11:12Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-29T03:21:21Z,www.amazon.com,Kindle E-reader,B0C772ZLMQ,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-18T22:10:38Z,www.amazon.com,Kindle E-reader,B0C7729CF8,Tap on Most Recent Page Read Title,Last Page Read
US,2023-11-27T21:50:56Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-01-30T04:05:00Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-04-22T21:41:20Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Already at Most Recent Page Read,Not Available
US,2024-04-18T16:56:14Z,www.amazon.com,Kindle E-reader,B0BJSGV831,Already at Most Recent Page Read,Not Available
US,2023-11-15T04:02:29Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-03-13T05:02:48Z,www.amazon.com,Kindle E-reader,B0BPNP7YQB,Recently Last Page Read Synced and Selected,Not Available
US,2023-09-28T04:09:50Z,www.amazon.com,Kindle E-reader,Not Available,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-11-28T06:17:25Z,www.amazon.com,Kindle E-reader,B0BR511292,Already at Most Recent Page Read,Not Available
US,2024-07-23T04:05:50Z,www.amazon.com,Kindle E-reader,B0C7729CF8,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-07-25T20:40:33Z,www.amazon.com,Kindle E-reader,B0C7729CF8,Reading Navigation Toolbar Inside Book is Invoked,Last Page Read
US,2024-04-29T21:02:33Z,www.amazon.com,Kindle E-reader,B0C772ZLMQ,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-11-13T03:37:43Z,www.amazon.com,Kindle E-reader,B0BR511292,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2024-04-29T21:02:33Z,www.amazon.com,Kindle E-reader,B0C772ZLMQ,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2023-12-13T21:54:53Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-08-18T03:00:44Z,www.amazon.com,Kindle E-reader,B08T6CL58V,Already at Most Recent Page Read,Not Available
US,2023-09-28T04:09:50Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-12-09T19:49:44Z,www.amazon.com,Kindle E-reader,B0C5LRCM2F,Tap on Most Recent Page Read Title,Last Page Read
US,2024-07-26T03:02:50Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2023-11-22T22:38:27Z,www.amazon.com,Kindle E-reader,B09YRR8DB6,Already at Most Recent Page Read,Not Available
US,2024-07-03T02:26:48Z,www.amazon.com,Kindle E-reader,C36A14E8EC2F4079AD3377ED35C616AE,Current Last Page Read Not Present,Not Available
US,2024-11-07T03:39:34Z,www.amazon.com,Kindle E-reader,28C62463866C4CC99233564ED847A1A5,Tap on Most Recent Page Read Title,Last Page Read
US,2024-12-30T20:32:32Z,www.amazon.com,Kindle E-reader,AHLCEKLOMNBI3WZAR2LXCRUBJ2OBWCFN,Already at Most Recent Page Read,Not Available
US,2024-08-09T03:00:48Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2025-06-26T02:52:56Z,www.amazon.com,Kindle E-reader,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,display_mrpr_dialog_SmartSync_C_,Last Page Read
US,2025-04-17T03:42:58Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2025-02-18T22:02:32Z,www.amazon.com,Kindle E-reader,B003K15IF8,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-08-05T21:41:15Z,www.amazon.com,Kindle E-reader,B0CL3FMNKJ,Tap on Most Recent Page Read Title,Last Page Read
US,2024-08-22T03:22:35Z,www.amazon.com,Kindle E-reader,3F18E7B1DE9B48E1B46CEBD543D9AD15,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2025-03-20T04:01:40Z,www.amazon.com,Kindle E-reader,TEOQR3X2DN2TSHJ276HTYWLF6WUZXQBC,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
US,2025-06-27T21:50:02Z,www.amazon.com,Kindle E-reader,43ORQUG7AE42E3A2GE6TJRETZGVMQIFX,display_mrpr_dialog_SmartSync_C_,Last Page Read
US,2025-04-17T04:01:28Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-08-07T02:24:02Z,www.amazon.com,Kindle E-reader,B0CL3FMNKJ,Already at Most Recent Page Read,Not Available
US,2025-03-04T03:33:12Z,www.amazon.com,Kindle E-reader,Not Available,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-09-02T17:38:55Z,www.amazon.com,Kindle E-reader,05C4DA136A6A4FFC99DBA85BEE6FF300,Already at Most Recent Page Read,Not Available
US,2025-03-17T02:22:21Z,www.amazon.com,Kindle E-reader,TEOQR3X2DN2TSHJ276HTYWLF6WUZXQBC,Current Last Page Read Not Present,Not Available
US,2024-10-06T04:06:34Z,www.amazon.com,Kindle E-reader,Not Available,Already at Most Recent Page Read,Not Available
US,2024-11-11T04:52:31Z,www.amazon.com,Kindle E-reader,N2GXACRU2Y75KKK7J7XPZLMLHHQJ3XEB,Reading Navigation Toolbar Inside Book is Invoked,Last Page Read
US,2025-05-27T22:16:31Z,www.amazon.com,Kindle E-reader,Not Available,already_at_mrpr_,Not Available
US,2024-09-22T02:16:55Z,www.amazon.com,Kindle E-reader,Not Available,Current Last Page Read Not Present,Not Available
US,2025-01-21T23:11:24Z,www.amazon.com,Kindle E-reader,B0CC1J32NG,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-09-02T14:22:24Z,www.amazon.com,Kindle E-reader,05C4DA136A6A4FFC99DBA85BEE6FF300,Most Recent Page Read Dialog Box Shown,Last Page Read
US,2024-09-02T14:22:24Z,www.amazon.com,Kindle E-reader,05C4DA136A6A4FFC99DBA85BEE6FF300,display_mrpr_dialog_SmartSync_C_progressbar,Last Page Read
