Created Timestamp,Preferred Marketplace,Country of Residence,Device Family,ASIN,Action,Annotation Type,Start Position,Total Number of Annotations,Highlights Count,Text Notes Count,On Page Note Count,Handwritten Sticky Note Count,Time on Sticky Note Window,Accessibility Screen Reader
2024-02-15T02:35:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-02-15T03:17:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-11T04:54:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-01-06T18:47:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-24T04:33:29Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-27T02:41:48Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-07T03:35:59Z,www.amazon.com,US,Kindle E-reader,B0BP66G6B7,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-11-01T00:18:33Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-12-13T21:54:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-31T21:22:02Z,www.amazon.com,US,Kindle E-reader,B0BKH7G2X8,Create Annotation,Highlight,AZALAACRAAAA,0,0,0,0,0,0.0000,No
2023-09-24T03:26:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-14T03:28:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-31T23:00:59Z,www.amazon.com,US,Kindle E-reader,B0BKH7G2X8,Delete Annotation,Highlight,AZALAACRAAAA,0,0,0,0,0,0.0000,No
2023-09-02T04:08:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-17T00:34:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-04-04T23:38:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-08-07T04:38:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-03-30T02:07:50Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-02-28T03:52:34Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-17T02:55:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-02-17T22:31:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-01-16T02:16:58Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-09-28T04:08:42Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-22T22:05:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-03-01T23:19:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-07-30T03:43:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-03-10T18:30:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-06-06T03:34:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-05-13T03:09:52Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-03-23T16:19:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-11-28T05:05:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-08-10T21:55:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-04-02T23:04:37Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2023-10-12T16:56:00Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
2024-06-06T21:53:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Total Number of Annotations Made,Not Available,Not Available,0,0,0,0,0,0.0000,Not Available
