Creation Date,Amazon Marketplace,ASIN,Product Name,Browse Node,StoreUrl,Device Serial Number,Device Platform,Display Status
2025-07-24T19:00:28Z,www.amazon.com,B08KH32L1B,Black Snow (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-22T20:20:13Z,www.amazon.com,B0DJKLF7VN,Dead of Summer: A Novel,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-22T20:20:13Z,www.amazon.com,B0DJKLF7VN,Dead of Summer: A Novel (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-22T20:20:13Z,www.amazon.com,B0DJKLF7VN,Dead of Summer: A Novel,"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-19T18:37:01Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/604f341e-c6a7-4040-9a6c-3fc77050fb86?ref=kc-su-pw-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-18T17:57:04Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-18T16:01:37Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/b9ef72fb-1faf-4e84-b3a9-1bc285034006?ref=kc-su-bi-cp,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-17T22:07:31Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-17T18:22:43Z,www.amazon.com,B08BWVWD3L,Snowflakes (Hush collection) (English Edition),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
2025-07-17T18:22:43Z,www.amazon.com,B08BWVWD3L,Snowflakes (Hush collection),"""Not Applicable""","""Not Applicable""",CF46BCB593354554AC0D6B60551CD370,"""Android""","""Push Notification Sent"""
