created_timestamp,preferred_marketplace,country,device_family,ASIN,wakeup_reason,time_in_hibernate_ms
2023-02-05T04:24:47Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,72973000
2023-02-14T21:35:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,48591000
2023-04-04T07:52:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9562000
2022-12-15T03:28:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,69712000
2023-07-04T03:08:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,20868000
2023-05-23T03:24:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,67217000
2023-02-20T21:39:22Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,48790000
2023-04-25T08:42:17Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,13641000
2023-01-06T07:11:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,82993000
2023-07-28T16:21:43Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,27268000
2023-04-28T17:04:41Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,30031000
2023-01-02T04:23:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,72909000
2023-07-14T07:34:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,11711000
2023-07-08T07:19:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,36753000
2023-04-16T07:17:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,9371000
2022-12-23T22:00:30Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,4559000
2023-03-09T03:35:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,13848000
2022-12-24T02:16:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,10965000
2023-05-24T21:34:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,46197000
2023-04-23T04:46:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,72154000
2023-04-09T07:47:36Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,8686000
2023-06-14T08:42:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for Periodical download,13281000
2023-07-14T02:49:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Power button pressed,65011000
2023-04-18T08:28:14Z,www.amazon.com,US,Kindle E-reader,Not Available,Wakeup for ad rotation,37222000
