created_timestamp,preferred_marketplace,country,device_family,ASIN,ads_or_recommendations_type,ads_or_recommendations_asin,ad_or_recommendation_location,ad_or_recommendation_position
2023-03-04T07:35:19Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-07-09T08:42:29Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-06-03T04:14:46Z,www.amazon.com,US,Kindle E-reader,B0B6JSJQLH,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-02-27T22:17:06Z,www.amazon.com,US,Kindle E-reader,B08QXTPXPH,Recommended for You Recommendation,B09JBCGQB8,Lockscreen,Lockscreen
2023-06-15T08:39:03Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,Recommended for You Recommendation,B0B3YC57XP,Lockscreen,Lockscreen
2023-03-24T05:01:04Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-06-23T08:42:26Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,More by Author Recommendation,B000GCFX6S,Lockscreen,Lockscreen
2023-05-13T01:24:22Z,www.amazon.com,US,Kindle E-reader,B09XL59MJX,More by Author Recommendation,B09RTYQW2S,Lockscreen,Lockscreen
2023-02-20T07:59:52Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,More by Author Recommendation,B08K3T7FCF,Lockscreen,Lockscreen
2023-04-10T04:32:17Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,More by Author Recommendation,B007FP98F6,Lockscreen,Lockscreen
2023-03-14T05:40:53Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,More by Author Recommendation,B08FG89X2R,Lockscreen,Lockscreen
2023-05-28T22:41:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Recommended for You Recommendation,B0B5SR4KBR,Lockscreen,Lockscreen
2023-06-23T03:55:05Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,Recommended for You Recommendation,B0BHD79NZ9,Lockscreen,Lockscreen
2023-02-20T04:31:24Z,www.amazon.com,US,Kindle E-reader,B07VDJBKNJ,More by Author Recommendation,B00TBKYKWE,Lockscreen,Lockscreen
2023-05-27T19:54:28Z,www.amazon.com,US,Kindle E-reader,Not Available,More by Author Recommendation,B011I42VY4,Lockscreen,Lockscreen
2023-06-22T23:13:07Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,Recommended for You Recommendation,B0BDQKVH9L,Lockscreen,Lockscreen
2023-03-11T07:10:59Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-06-16T08:42:26Z,www.amazon.com,US,Kindle E-reader,B0BHCXVWGT,Recommended for You Recommendation,B09XM4GDLV,Lockscreen,Lockscreen
2023-04-17T04:41:59Z,www.amazon.com,US,Kindle E-reader,B000U913EI,Recommended for You Recommendation,B09Y46DSD7,Lockscreen,Lockscreen
2023-05-23T03:51:11Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-07-18T04:16:56Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,More by Author Recommendation,B07GD51NCJ,Lockscreen,Lockscreen
2023-04-13T18:46:10Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,More by Author Recommendation,B077J7D4FM,Lockscreen,Lockscreen
2023-03-09T18:07:40Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-07-21T08:14:20Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,More by Author Recommendation,B000SIFEM8,Lockscreen,Lockscreen
2023-03-17T03:45:11Z,www.amazon.com,US,Kindle E-reader,B0B3Y8DJFJ,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-05-29T07:05:55Z,www.amazon.com,US,Kindle E-reader,B08PG6CKZJ,Recommended for You Recommendation,B0B7R4Q5DJ,Lockscreen,Lockscreen
2023-06-14T03:57:42Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,More by Author Recommendation,B0BBCB6PFC,Lockscreen,Lockscreen
2023-03-05T04:47:42Z,www.amazon.com,US,Kindle E-reader,B09NW4FN2R,Recommended for You Recommendation,B09JBCGQB8,Lockscreen,Lockscreen
2023-04-28T20:54:14Z,www.amazon.com,US,Kindle E-reader,B0B6Z4SVTH,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-03-20T02:22:10Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,Recommended for You Recommendation,B098PW8NP8,Lockscreen,Lockscreen
2023-05-10T07:44:36Z,www.amazon.com,US,Kindle E-reader,B0BBCB6PFC,More by Author Recommendation,B0BS35LYYL,Lockscreen,Lockscreen
