created_timestamp,preferred_marketplace,country,device_family,ASIN,sync_experience,sync_action
2024-02-03T06:12:11Z,www.amazon.com,US,Kindle E-reader,B0C592RHNC,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2025-07-27T18:30:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2025-05-06T03:34:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2025-01-20T18:53:27Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-01-20T18:53:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-05-06T03:35:13Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2024-10-07T04:18:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-11-17T04:25:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-07-27T18:30:25Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2025-01-20T18:49:15Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-08-18T15:03:17Z,www.amazon.com,US,Kindle E-reader,6C1EF968A24F49B0BF68A0FC5BA314DC,Sync is Performed,Manual Sync Action Clicked Inside the Book
2025-01-20T18:53:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-01-24T21:25:20Z,www.amazon.com,US,Kindle E-reader,B0DMDYK6Y6,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-03-01T21:59:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-04-30T22:21:27Z,www.amazon.com,US,Kindle E-reader,MDA2MPOTKOJLTLOVINZIHHXFP4Q3WPNH,Sync is Performed,reader_manual_sync_action_SmartSync_C_
2025-05-30T01:28:53Z,www.amazon.com,US,Kindle E-reader,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Sync is Performed,Navigate to Furthest Page Read
2025-04-27T03:35:12Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2024-12-30T20:38:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-08-09T03:29:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-06-11T03:14:11Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2025-07-18T16:37:38Z,www.amazon.com,US,Kindle E-reader,7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Sync is Performed,manual_sync_action_
2024-12-30T20:38:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-05-27T22:16:32Z,www.amazon.com,US,Kindle E-reader,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Sync is Performed,reader_manual_sync_action_
2024-11-17T04:28:02Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-08-27T05:08:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-08-27T05:01:08Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2024-09-24T22:21:45Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Sync is Performed,reader_manual_sync_action_SmartSync_C_progressbar
2025-04-17T03:42:43Z,www.amazon.com,US,Kindle E-reader,WVIR53TOCAWTSQCQN5QUVUTPLD2YC7AD,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-07-18T16:37:38Z,www.amazon.com,US,Kindle E-reader,7KRWAI2AYO7QURIYLICYT2S4DTQWFXK7,Sync is Performed,manual_sync_action_SmartSync_C_
2025-04-21T22:21:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2024-09-22T01:44:32Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-04-21T02:47:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_
2025-04-18T03:26:31Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
2025-04-21T02:47:23Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_
2024-09-24T22:21:45Z,www.amazon.com,US,Kindle E-reader,B0CQJHF3HQ,Sync is Performed,Manual Sync Action Clicked Inside the Book
2025-01-15T05:17:35Z,www.amazon.com,US,Kindle E-reader,LH2FCVKSFLIA3RE4365AAGYFG76TA7UI,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2025-03-01T21:59:01Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,manual_sync_action_SmartSync_C_progressbar
2024-11-17T04:25:59Z,www.amazon.com,US,Kindle E-reader,Not Available,Sync is Performed,Manual Sync Action Clicked Before Opening the Book
