"Product Name","ASIN","Author Name"
"Super-Infinite: The Transformations of John Donne","B09NTK9WDQ","Rundell, Katherine"
"The Sympathizer: A Novel (Pulitzer Prize for Fiction)","B00PSSG4MM","Nguyen, Viet Thanh"
"A Gentleman in Moscow: A Novel","B01COJUEZ0","Towles, Amor"
"Demon Copperhead: A Pulitzer Prize Winner","B09QMHZ53K","Kingsolver, Barbara"
"Random","B0B2F5J32D","Jillette, Penn"
"Godspeed","B08NT2VSWF","Butler, Nickolas"
"Randomize: Forward collection","B07X7K7DVS","Andy Weir"
"Randomize (Forward collection)","B07VDJBKNJ","Weir, Andy"
"World's Greatest Running Lessons: 50 Lessons to Elevate Your Running","B0B33PJZJT","McMillan, Greg"
"World's Greatest Running Lessons: 50 Lessons to Elevate Your Running","B0B33PJZJT","Goldstein, Allison "
"If Nietzsche Were a Narwhal: What Animal Intelligence Reveals About Human Stupidity","B09QKTFZGR","Gregg, Justin"
"Night of the Living Rez","B09NH4DJBP","Talty, Morgan"
"Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion","B08BYBNGMW","Beaujour, Tom"
"Nöthin' But a Good Time: The Uncensored History of the '80s Hard Rock Explosion","B08BYBNGMW","Bienstock, Richard"
"The Idiot: A Novel","B01HNJIJ3U","Batuman, Elif"
"The Passenger","B09T9D8QY7","McCarthy, Cormac"
"Small Game: A Novel","B09R21YVLM","Braverman, Blair"
"The Icepick Surgeon: Murder, Fraud, Sabotage, Piracy, and Other Dastardly Deeds Perpetrated in the Name of Science","0316496502","Kean, Sam"
"No One Left to Come Looking for You: A Novel","B09RX2WQ3M","Lipsyte, Sam"
"The Mosquito Bowl: A Game of Life and Death in World War II","0062879928","Bissinger, Buzz"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","B00AEBETU2","Brown, Daniel James"
"Indigenous Continent: The Epic Contest for North America","B0B193DJYK","Hämäläinen, Pekka"
"Sugar Street","080216000X","Dee, Jonathan"
"In Fifty Words!: Micro Fictions","B07WK8JZ9N","Thurber, Bob"
"If I Survive You","B09NTJPTKN","Escoffery, Jonathan"
"Lost & Found: A Memoir","B09285Y1V4","Schulz, Kathryn"
"Heart of a Dog","B0BH8GTQYX","Mikhail Bulgakov"
"Liberation Day: Stories","0525509593","Saunders, George"
"The Bullet That Missed: (The Thursday Murder Club 3)","0241512425","Osman, Richard"
"Running Smart: How Science Can Improve Your Endurance and Performance","0262542447","van Sprundel, Mariska"
"The Girl in His Shadow: A Novel","B08DHDY24D","Blake, Audrey"
"The Man Who Died Twice: A Thursday Murder Club Mystery (Thursday Murder Club Mysteries Book 2)","B08YRM9NBM","Osman, Richard"
"A Slow Fire Burning: A Novel","B08PC3SZHX","Hawkins, Paula"
"Nine Lives: A Novel","B097769VDM","Swanson, Peter"
"Iron Lake (20th Anniversary Edition): A Novel (Cork O'Connor Mystery Series Book 1)","B000FC0QBQ","Krueger, William Kent"
