created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2024-07-01T21:23:20Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4246270033,Book Selected,Selected Campaign Header,tap,1
2023-06-28T04:03:45Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Book Selected,Action Performed in First Book of the Campaign,tap,1
2025-04-03T02:28:07Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4351860007,Book Selected,Selected Campaign Header,tap,1
2025-06-23T00:58:19Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4417610025,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2024-11-05T22:30:53Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4289730037,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-08-24T04:49:34Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Book Selected,Selected Campaign Header,tap,1
2024-01-10T04:34:59Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4142850042,Menu Option Selected,Selected Campaign Header,tap,1
2023-04-11T03:07:42Z,www.amazon.com,US,Kindle E-reader,Not Applicable,3924980005,Menu Option Selected,Action Performed in First Book of the Campaign,tap,1
2023-08-04T04:11:11Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,com.amazon.library.actions.return_borrowed_book_action,Selected Campaign Header,book_detail_view_action,1
2023-07-26T03:54:16Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4064600031,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2024-09-09T02:59:17Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4270250001,Menu Option Selected,Selected Campaign Header,tap,1
