created_timestamp,preferred_marketplace,device_family,card_name,card_position
2023-01-07T06:09:39Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-16T05:09:41Z,www.amazon.com,Kindle for Android,,2
2023-06-09T03:44:10Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-14T17:44:53Z,www.amazon.com,Kindle for Android,,2
2022-12-18T22:27:40Z,www.amazon.com,Kindle for Android,Recommended for you,9
2022-12-14T17:44:53Z,www.amazon.com,Kindle for Android,,1
2023-02-15T06:01:53Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,2
2023-01-19T05:42:39Z,www.amazon.com,Kindle for Android,,1
2023-06-19T21:29:07Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-05-15T03:22:00Z,www.amazon.com,Kindle for Android,,1
2022-12-18T22:27:06Z,www.amazon.com,Kindle for Android,,1
2023-03-09T03:27:06Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-03-13T19:33:02Z,www.amazon.com,Kindle for Android,,1
2023-06-06T01:41:37Z,www.amazon.com,Kindle for Android,,4
2023-02-15T06:17:54Z,www.amazon.com,Kindle for Android,Expand your reading horizons,12
2022-12-18T22:27:42Z,www.amazon.com,Kindle for Android,,10
2023-07-05T17:30:45Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-04-28T19:53:56Z,www.amazon.com,Kindle for Android,,3
2023-05-14T17:40:42Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,2
2023-07-04T18:29:10Z,www.amazon.com,Kindle for Android,Upcoming releases for you,5
2023-01-03T21:32:43Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-01-19T05:31:50Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-20T03:02:24Z,www.amazon.com,Kindle for Android,,13
2023-03-07T03:51:32Z,www.amazon.com,Kindle for Android,,1
2023-03-05T04:55:54Z,www.amazon.com,Kindle for Android,,3
2023-03-07T03:52:27Z,www.amazon.com,Kindle for Android,Reading Insights,4
2023-03-07T03:52:00Z,www.amazon.com,Kindle for Android,Reading Insights,4
2023-04-21T03:43:45Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-02-15T06:02:26Z,www.amazon.com,Kindle for Android,,9
2022-12-20T19:00:43Z,www.amazon.com,Kindle for Android,,13
2023-03-07T03:51:12Z,www.amazon.com,Kindle for Android,,1
2023-01-19T05:31:56Z,www.amazon.com,Kindle for Android,,1
2023-06-28T23:55:35Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-01-19T05:43:03Z,www.amazon.com,Kindle for Android,Recommended for you,7
2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,Based on your reading,8
2023-01-12T05:35:48Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-16T05:10:55Z,www.amazon.com,Kindle for Android,,6
2023-02-15T06:02:19Z,www.amazon.com,Kindle for Android,Follow the author,8
2023-01-19T05:31:29Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-13T03:49:17Z,www.amazon.com,Kindle for Android,,2
2022-12-16T05:10:33Z,www.amazon.com,Kindle for Android,,6
2023-03-05T04:56:32Z,www.amazon.com,Kindle for Android,,11
2023-06-28T23:55:35Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:11:05Z,www.amazon.com,Kindle for Android,More like your recent books,5
2022-12-18T22:26:11Z,www.amazon.com,Kindle for Android,,2
2022-12-16T04:20:54Z,www.amazon.com,Kindle for Android,,2
2023-06-28T23:55:47Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-07-23T16:48:38Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:12:50Z,www.amazon.com,Kindle for Android,,12
2023-06-08T21:28:06Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-03-09T03:27:06Z,www.amazon.com,Kindle for Android,Expand your reading horizons,3
2023-05-02T01:04:30Z,www.amazon.com,Kindle for Android,More like [book title],5
2022-12-16T05:11:38Z,www.amazon.com,Kindle for Android,,12
2023-03-07T03:52:06Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-05-02T01:03:57Z,www.amazon.com,Kindle for Android,Follow the author,3
2023-07-23T16:48:38Z,www.amazon.com,Kindle for Android,,2
2023-06-19T21:29:07Z,www.amazon.com,Kindle for Android,,1
2023-07-06T18:55:28Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-01-02T03:38:55Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-02-20T03:00:36Z,www.amazon.com,Kindle for Android,Upcoming releases for you,1
2023-03-07T03:52:29Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-04-05T17:02:52Z,www.amazon.com,Kindle for Android,,1
2023-01-12T05:35:57Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-02-05T20:51:02Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:11:34Z,www.amazon.com,Kindle for Android,More like [book title],9
2022-12-18T22:27:46Z,www.amazon.com,Kindle for Android,,12
2023-02-28T00:03:12Z,www.amazon.com,Kindle for Android,,5
2023-06-06T01:34:33Z,www.amazon.com,Kindle for Android,,3
2023-05-02T01:24:40Z,www.amazon.com,Kindle for Android,,6
2023-06-30T22:47:07Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-03-07T03:52:46Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,10
2022-12-16T05:10:02Z,www.amazon.com,Kindle for Android,,6
2022-12-20T19:00:38Z,www.amazon.com,Kindle for Android,,9
2023-02-28T19:20:59Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,12
2023-07-04T20:46:50Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-05-15T03:12:50Z,www.amazon.com,Kindle for Android,,2
2023-02-15T06:01:57Z,www.amazon.com,Kindle for Android,,4
2023-02-28T19:20:51Z,www.amazon.com,Kindle for Android,,10
2023-03-25T18:13:42Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-07-04T18:29:02Z,www.amazon.com,Kindle for Android,Recommended for you,7
2023-04-13T10:37:10Z,www.amazon.com,Kindle for Android,,1
2023-01-25T00:55:14Z,www.amazon.com,Kindle for Android,,1
2023-07-05T17:30:45Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-05-02T01:24:41Z,www.amazon.com,Kindle for Android,More like [book title],3
2023-05-02T01:24:42Z,www.amazon.com,Kindle for Android,Recommended for you,1
2022-12-18T22:25:55Z,www.amazon.com,Kindle for Android,,1
2022-12-20T19:00:42Z,www.amazon.com,Kindle for Android,Quick reads for you,12
2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,,6
2022-12-25T19:30:54Z,www.amazon.com,Kindle for Android,Reading Insights,1
2023-02-15T06:01:53Z,www.amazon.com,Kindle for Android,Upcoming releases for you,1
2023-02-15T06:00:45Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,1
2023-02-05T20:51:04Z,www.amazon.com,Kindle for Android,,1
2023-04-05T17:02:52Z,www.amazon.com,Kindle for Android,,2
2023-02-20T12:46:38Z,www.amazon.com,Kindle for Android,Upcoming releases for you,1
2023-01-12T05:35:57Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-04-21T03:42:02Z,www.amazon.com,Kindle for Android,,1
2023-03-31T16:15:19Z,www.amazon.com,Kindle for Android,,1
2023-02-20T03:02:23Z,www.amazon.com,Kindle for Android,Expand your reading horizons,12
2023-07-06T19:04:29Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:11:01Z,www.amazon.com,Kindle for Android,,2
2023-04-04T23:12:24Z,www.amazon.com,Kindle for Android,,2
2022-12-16T05:11:48Z,www.amazon.com,Kindle for Android,,12
2023-07-23T16:50:02Z,www.amazon.com,Kindle for Android,Reading Insights,1
2022-12-14T17:44:35Z,www.amazon.com,Kindle for Android,Based on your reading in Kindle Unlimited,3
2022-12-16T05:12:50Z,www.amazon.com,Kindle for Android,,11
2023-07-16T21:08:58Z,www.amazon.com,Kindle for Android,More like [book title],2
2022-12-18T22:27:25Z,www.amazon.com,Kindle for Android,,5
2023-07-23T16:49:50Z,www.amazon.com,Kindle for Android,,1
2023-01-19T05:43:09Z,www.amazon.com,Kindle for Android,More like [book title],10
2023-02-15T06:18:42Z,www.amazon.com,Kindle for Android,,7
2023-01-19T05:31:55Z,www.amazon.com,Kindle for Android,Based on your reading,2
2023-07-04T18:29:02Z,www.amazon.com,Kindle for Android,Upcoming releases for you,5
2022-12-25T19:44:44Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-05-02T01:04:34Z,www.amazon.com,Kindle for Android,More like [book title],6
2023-03-07T03:52:22Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-04-28T03:38:06Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-03-30T03:47:05Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:10:55Z,www.amazon.com,Kindle for Android,More like [book title],8
2023-05-15T03:08:10Z,www.amazon.com,Kindle for Android,,2
2023-02-20T03:01:47Z,www.amazon.com,Kindle for Android,Reading Insights,6
2023-07-04T18:35:08Z,www.amazon.com,Kindle for Android,Recommended for you,7
2023-06-28T03:54:51Z,www.amazon.com,Kindle for Android,,1
2023-03-31T16:15:19Z,www.amazon.com,Kindle for Android,Based on your reading,2
2023-07-04T18:22:43Z,www.amazon.com,Kindle for Android,,6
2023-03-05T04:56:16Z,www.amazon.com,Kindle for Android,More like [book title],7
2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,,7
2023-06-30T22:46:51Z,www.amazon.com,Kindle for Android,More like [book title],2
2023-04-21T03:42:07Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-04-30T21:04:18Z,www.amazon.com,Kindle for Android,Recommended for you,1
2023-06-06T01:41:29Z,www.amazon.com,Kindle for Android,More like your recent books,2
2023-06-30T22:46:51Z,www.amazon.com,Kindle for Android,,1
2023-07-06T18:55:28Z,www.amazon.com,Kindle for Android,,1
2022-12-25T19:44:44Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-04-21T03:42:07Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-03-07T03:52:58Z,www.amazon.com,Kindle for Android,,13
2023-06-08T21:27:01Z,www.amazon.com,Kindle for Android,,1
2023-01-02T03:38:55Z,www.amazon.com,Kindle for Android,More like [book title],1
2023-06-14T22:23:18Z,www.amazon.com,Kindle for Android,More like [book title],1
2022-12-16T05:11:04Z,www.amazon.com,Kindle for Android,,4
2023-02-05T20:51:02Z,www.amazon.com,Kindle for Android,,2
2023-04-21T03:42:08Z,www.amazon.com,Kindle for Android,Upcoming releases for you,2
2023-04-30T21:03:32Z,www.amazon.com,Kindle for Android,,2
2023-05-15T03:08:10Z,www.amazon.com,Kindle for Android,,1
2023-01-19T05:31:50Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,1
2023-06-28T03:54:33Z,www.amazon.com,Kindle for Android,,1
2023-07-04T20:46:50Z,www.amazon.com,Kindle for Android,,1
2023-06-19T21:29:05Z,www.amazon.com,Kindle for Android,,1
2022-12-16T05:10:03Z,www.amazon.com,Kindle for Android,More like [book title],7
2022-12-18T22:26:11Z,www.amazon.com,Kindle for Android,,1
2023-03-07T03:51:12Z,www.amazon.com,Kindle for Android,Expand your reading horizons,2
2022-12-16T05:12:50Z,www.amazon.com,Kindle for Android,,13
2023-01-19T05:31:29Z,www.amazon.com,Kindle for Android,Recommended for you in Kindle Unlimited,1
2023-07-23T16:48:38Z,www.amazon.com,Kindle for Android,,3
2023-01-19T05:42:52Z,www.amazon.com,Kindle for Android,More like [book title],4
2023-02-15T06:18:42Z,www.amazon.com,Kindle for Android,Follow the author,8
2023-01-19T05:31:30Z,www.amazon.com,Kindle for Android,More like [book title],3
2023-04-04T23:12:06Z,www.amazon.com,Kindle for Android,,2
2023-04-04T23:11:53Z,www.amazon.com,Kindle for Android,,1
