Timestamp,Activity,CampaignName,DisplayStatus
2024-01-26T04:47:58Z,ACTION_TRAY_CLEARED,,
2024-01-08T18:51:14Z,RECEIVED,kindle_recommends,displayed
2023-07-13T18:45:36Z,RECEIVED,special_deals,displayed
2023-08-09T02:23:21Z,ACTION_TRAY_CLEARED,,
2025-01-31T21:05:42Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-02-06T22:00:18Z,RECEIVED,special_deals,displayed
2023-06-14T22:23:36Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-01-13T03:45:01Z,ACTION_TRAY_OPEN,,
2023-12-09T16:54:00Z,ACTION_TRAY_CLOSE,,
2023-07-21T15:52:34Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2025-03-03T16:14:38Z,RECEIVED,tips,displayed
2023-06-30T22:47:05Z,ACTION_TRAY_CLEAR_PERFORMED,,
2024-04-10T02:44:24Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2023-06-28T03:54:42Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2025-07-02T16:51:16Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-01-14T20:04:00Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-09-28T15:25:25Z,RECEIVED,tips,displayed
2023-03-31T16:15:48Z,ACTION_TRAY_OPEN,,
2023-10-07T01:15:19Z,ACTION_TRAY_OPEN,,
2023-02-20T03:01:36Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-03-22T20:10:44Z,RECEIVED,kindle_recommends,displayed
2023-06-28T23:56:04Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2023-10-11T00:20:25Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-08-28T17:49:44Z,ACTION_TRAY_CLEARED,,
2024-11-25T17:49:19Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2025-03-25T20:33:29Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-02-19T05:28:08Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-08-31T18:20:22Z,RECEIVED,special_deals,displayed
2024-02-20T22:52:23Z,ACTION_TRAY_OPEN,,
2024-06-01T17:22:21Z,ACTION_TRAY_OPEN,,
2025-02-26T21:41:28Z,ACTION_TRAY_CLEARED,,
2025-02-10T21:17:33Z,ACTION_TRAY_CLEARED,,
2023-05-14T17:41:33Z,ACTION_TRAY_CLOSE,,
2025-01-06T21:44:01Z,RECEIVED,tips,displayed
2023-06-28T18:50:50Z,RECEIVED,tips,displayed
2024-09-12T16:51:56Z,ACTION_TRAY_CLEARED,,
