ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B09285Y1V4,Lost & Found: A Memoir,kindle.continuous_read,2022-11-11T05:48:27Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-11T05:43:54Z,2022-11-11T05:48:28Z,Not Available,Not Available,Not Available,Not Available,No
B09285Y1V4,Lost & Found: A Memoir,kindle.most_recent_read,2022-11-11T05:48:27Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-11T05:43:54Z,2022-11-11T05:48:28Z,Not Available,Not Available,Not Available,Not Available,No
B09285Y1V4,Lost & Found: A Memoir,kindle.last_read,2022-11-11T05:48:27Z,G0016T03101203AQ,EBOK,YJBinary,2022-11-11T05:43:54Z,2022-11-11T05:48:28Z,Not Available,Not Available,Not Available,Not Available,No
B09QPJKSXM,Cheap Land Colorado: Off-Gridders at America's Edge,kindle.continuous_read,2022-11-05T02:42:54Z,G0016T03101203AQ,EBSP,YJBinary,2022-11-03T03:56:05Z,2022-11-05T02:42:55Z,Not Available,Not Available,Not Available,Not Available,No
B09QPJKSXM,Cheap Land Colorado: Off-Gridders at America's Edge,kindle.most_recent_read,2022-11-05T02:42:54Z,G0016T03101203AQ,EBSP,YJBinary,2022-11-03T03:56:05Z,2022-11-05T02:42:55Z,Not Available,Not Available,Not Available,Not Available,No
B09QPJKSXM,Cheap Land Colorado: Off-Gridders at America's Edge,kindle.last_read,2022-11-04T04:32:42Z,G0016T03101203AQ,EBSP,YJBinary,2022-11-03T03:56:05Z,2022-11-04T04:32:43Z,Not Available,Not Available,Not Available,Not Available,No
AQ3OABMEA2YURRI5PMD4TSHQZYWFTONB,Not Available,kindle.continuous_read,2022-11-04T04:22:40Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-28T05:07:15Z,2022-11-04T04:23:32Z,Not Available,Not Available,Not Available,Not Available,No
AQ3OABMEA2YURRI5PMD4TSHQZYWFTONB,Not Available,kindle.most_recent_read,2022-11-04T04:22:40Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-28T05:07:15Z,2022-11-04T04:23:32Z,Not Available,Not Available,Not Available,Not Available,No
AQ3OABMEA2YURRI5PMD4TSHQZYWFTONB,Not Available,kindle.last_read,2022-11-04T04:22:40Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-28T05:07:15Z,2022-11-04T04:23:32Z,Not Available,Not Available,Not Available,Not Available,No
B003BRBCFG,Boundary Waters: A Novel (Cork O'Connor Mystery Series Book 2),kindle.continuous_read,2022-10-28T04:44:34Z,G0016T03101203AQ,EBSP,YJBinary,2022-10-27T03:54:52Z,2022-10-28T04:44:35Z,Not Available,Not Available,Not Available,Not Available,No
B003BRBCFG,Boundary Waters: A Novel (Cork O'Connor Mystery Series Book 2),kindle.most_recent_read,2022-10-28T04:44:34Z,G0016T03101203AQ,EBSP,YJBinary,2022-10-27T03:54:52Z,2022-10-28T04:44:35Z,Not Available,Not Available,Not Available,Not Available,No
B003BRBCFG,Boundary Waters: A Novel (Cork O'Connor Mystery Series Book 2),kindle.last_read,2022-10-28T04:44:34Z,G0016T03101203AQ,EBSP,YJBinary,2022-10-27T03:54:52Z,2022-10-28T04:44:35Z,Not Available,Not Available,Not Available,Not Available,No
QSKJSE7YJTJXN5WGZEBZAJ3ZZEBKDEAX,Not Available,kindle.continuous_read,2022-11-04T04:31:14Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-23T04:14:30Z,2022-11-04T04:31:16Z,Not Available,Not Available,Not Available,Not Available,No
QSKJSE7YJTJXN5WGZEBZAJ3ZZEBKDEAX,Not Available,kindle.most_recent_read,2022-11-04T04:31:14Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-23T04:14:30Z,2022-11-04T04:31:16Z,Not Available,Not Available,Not Available,Not Available,No
QSKJSE7YJTJXN5WGZEBZAJ3ZZEBKDEAX,Not Available,kindle.last_read,2022-11-04T04:31:14Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-23T04:14:30Z,2022-11-04T04:31:16Z,Not Available,Not Available,Not Available,Not Available,No
B0B193DJYK,Indigenous Continent: The Epic Contest for North America,kindle.continuous_read,2022-10-23T03:30:01Z,G0016T03101203AQ,EBOK,YJBinary,2022-10-23T03:30:03Z,2022-10-23T03:30:03Z,Not Available,Not Available,Not Available,Not Available,No
B0B193DJYK,Indigenous Continent: The Epic Contest for North America,kindle.most_recent_read,2022-10-23T03:30:01Z,G0016T03101203AQ,EBOK,YJBinary,2022-10-23T03:30:03Z,2022-10-23T03:30:03Z,Not Available,Not Available,Not Available,Not Available,No
B0B193DJYK,Indigenous Continent: The Epic Contest for North America,kindle.last_read,2022-10-23T03:30:01Z,G0016T03101203AQ,EBOK,YJBinary,2022-10-23T03:30:03Z,2022-10-23T03:30:03Z,Not Available,Not Available,Not Available,Not Available,No
2WHQ4RDHHZSUUDZRQBG52I7KS37FTVCT,Not Available,kindle.continuous_read,2022-10-13T04:02:25Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-05T19:36:43Z,2022-10-13T04:02:27Z,Not Available,Not Available,Not Available,Not Available,No
2WHQ4RDHHZSUUDZRQBG52I7KS37FTVCT,Not Available,kindle.most_recent_read,2022-10-13T04:02:25Z,G0016T03101203AQ,PDOC,Mobi8,2022-10-05T19:36:43Z,2022-10-13T04:02:27Z,Not Available,Not Available,Not Available,Not Available,No
