created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2023-01-12T15:48:06Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-18T07:27:22Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-28T20:38:31Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-02-02T03:47:24Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-04T23:12:07Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-21T04:02:49Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-04-28T03:38:24Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-01-14T23:16:55Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-19T20:18:30Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-14T01:10:33Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-23T17:51:34Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-06T19:43:07Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-25T19:44:45Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-08T21:58:42Z,US,www.amazon.com,Kindle for Android,B000GCFX6S,0,0,seriesGroupingDisabled
2023-03-18T18:29:16Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-30T03:47:05Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-03-31T04:26:18Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-02T23:51:06Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-06-19T15:03:09Z,US,,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-12T02:26:01Z,US,www.amazon.com,Kindle for Android,B000GCFX6S,0,0,seriesGroupingDisabled
2022-12-25T19:31:03Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-25T00:57:37Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-04T12:21:14Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-14T18:13:25Z,US,www.amazon.com,Kindle for Android,B09XL59MJX,0,0,seriesGroupingDisabled
2023-02-20T04:04:09Z,US,www.amazon.com,Kindle for Android,Not Available,1,1,seriesGroupingDisabled
2023-01-19T06:31:14Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-01-19T04:40:06Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-30T03:47:27Z,US,www.amazon.com,Kindle for Android,B0BWMMN631,1,1,seriesGroupingDisabled
2023-03-07T03:51:13Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-05-02T01:25:04Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-25T17:36:35Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-10T11:53:14Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-07-21T23:47:13Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-20T21:10:39Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-07T18:24:55Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-25T19:30:54Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2022-12-13T11:00:24Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-02-28T19:18:58Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-03-18T04:52:13Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
2023-06-19T21:33:44Z,US,www.amazon.com,Kindle for Android,Not Available,0,0,seriesGroupingDisabled
