created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2023-03-29T17:30:26Z,www.amazon.com,US,Kindle E-reader,B0B3989NDF,4559487
2023-07-18T04:16:55Z,www.amazon.com,US,Kindle E-reader,B07GD51NCJ,4743638
2023-07-07T20:03:04Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,2701917
2023-07-21T23:03:27Z,www.amazon.com,US,Kindle E-reader,Not Available,34820
2023-02-13T05:01:59Z,www.amazon.com,US,Kindle E-reader,B09NTK9WDQ,1449853
2023-05-07T17:11:47Z,www.amazon.com,US,Kindle E-reader,B084357H23,1980778
2023-04-10T04:32:16Z,www.amazon.com,US,Kindle E-reader,B0B3HPSFJ7,1621515
2023-02-14T21:55:10Z,www.amazon.com,US,Kindle E-reader,B09QMHZ53K,1155924
2023-06-27T22:54:11Z,www.amazon.com,US,Kindle E-reader,B0BHTN6TL6,600104
2023-04-26T22:06:51Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,1163497
2023-05-08T21:33:07Z,www.amazon.com,US,Kindle E-reader,Not Available,5045891
2023-04-13T23:29:10Z,www.amazon.com,US,Kindle E-reader,B0B1BTJLJN,2544897
2023-03-10T23:49:06Z,www.amazon.com,US,Kindle E-reader,B09JBCGQB8,408412
2023-06-13T02:19:51Z,www.amazon.com,US,Kindle E-reader,B000GCFX6S,904007
2023-04-30T02:58:49Z,www.amazon.com,US,Kindle E-reader,Not Available,600524
2023-06-25T03:23:17Z,www.amazon.com,US,Kindle E-reader,Not Available,688154
2023-07-05T02:27:01Z,www.amazon.com,US,Kindle E-reader,B09Y94K74X,737960
2023-03-27T04:08:31Z,www.amazon.com,US,Kindle E-reader,B09RTYQW2S,561862
2023-03-11T22:32:05Z,www.amazon.com,US,Kindle E-reader,B09N6VX4K7,2030708
2023-04-24T22:53:29Z,www.amazon.com,US,Kindle E-reader,B0B6Z3LN2D,445839
